Site,Type,Industry,Skill,Designation,Cost
BPM,Growth,BPO,Actuarial Valuation,Analyst,143149.1236
NCR,Growth,Big 4,AASG,Assistant Manager,559305.7538
BPM,Growth,BPO,Actuarial Modelling,Assistant Manager,995903.4639
BPM,Growth,BPO,Ad Approvals,Assistant Manager,395676.3748
SDS,Growth,Others-,AML,Assistant Manager,449950.2786
SDS,Backfill,Genpact India-ITES/ BPO/ KPO,Analytical/BI Tools,Assistant manager,238299.9283
HYD,Growth,BPO,Analytics,Assistant Manager,235915.0882
BLR,Backfill,Finance,Analytics,Assistant Manager,282185.8182
NCR,Backfill,BPO,AP,Assistant Manager,25523.81844
JPR,Growth,BPO,AP,Assistant Manager,54319.86701
NCR,Growth,BPO,AP,Assistant Manager,90105.05315
HYD,Growth,BPO,AP,Assistant Manager,195906.182
HYD,Growth,BPO,AP,Assistant Manager,267956.2815
HYD,Backfill,BPO,AP,Assistant Manager,313901.8884
BPM,Backfill,BPO,AP,Assistant Manager,362164.7014
HYD,Growth,HMV,AP,Assistant Manager,32717.43803
NCR,Backfill,ITES,AP,Assistant Manager,45613.51762
NCR,Growth,BPO,AR,Assistant Manager,503621.4344
NCR,Growth,BPO/ITES,AR,Assistant Manager,96722.14899
NCR,Growth,KPO,AR,Assistant Manager,154546.271
HYD,Backfill,ITES,Ariba Production Support,Assistant Manager,417287.1626
SDS,Growth,Others-,Business Objects,Assistant Manager,116428.4491
SDS,Growth,Others-,Business Objects,Assistant Manager,19121.15407
NCR,Growth,BPO,C&R/FR,Assistant Manager,52653.65585
NCR,Growth,BPO/ITES,C&R/FR,Assistant Manager,353756.1846
NCR,Backfill,BPO/ITES,C&R/FR,Assistant Manager,328979.9061
NCR,Growth,CA Firm,C&R/FR,Assistant Manager,354138.3236
NCR,Backfill,CA Firm,C&R/FR,Assistant Manager,176178.6963
NCR,Backfill,Consulting,C&R/FR,Assistant Manager,504907.6217
NCR,Growth,Finance,C&R/FR,Assistant Manager,30375.2923
NCR,Backfill,Finance,C&R/FR,Assistant Manager,81261.18853
NCR,Backfill,ITES,C&R/FR,Assistant Manager,30279.76081
MUM,Backfill,BFSI,CAG,Assistant Manager,884868.3956
HYD,Growth,BPO,Capital Markets,Assistant Manager,152361.326
NCR,Growth,Finance,Cash Clearing,Assistant Manager,1590.064198
NCR,Backfill,BPO,Catalog Management,Assistant Manager,344512.6108
NCR,Growth,Sourcing,Category Management,Assistant Manager,283215.1809
NCR,Growth,Sourcing,Category Management,Assistant Manager,352445.3247
NCR,Growth,Sourcing,Category Management,Assistant Manager,108834.3706
HYD,Backfill,BPO,Collections,Assistant Manager,388970.1934
HYD,Backfill,BPO,Collections,Assistant Manager,43725.70724
BPM,Backfill,BPO,Collections,Assistant Manager,379477.1317
